ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1950-01-01,0.8376171836531413,0.8316635627676292,0.936418152565493,0.8376171836531413,0.8376171836531413,0.04532746499893378,0.04532746499893378,0.04532746499893378,0.04532746499893378,0.04532746499893378,0.04532746499893378,0.0,0.0,0.0,0.8829446486520751
1951-01-01,0.8448376923754323,0.8373772214570278,0.9408862617142463,0.8448376923754323,0.8448376923754323,0.04546822747108276,0.04546822747108276,0.04546822747108276,0.04546822747108276,0.04546822747108276,0.04546822747108276,0.0,0.0,0.0,0.8903059198465151
1952-01-01,0.8520582010977232,0.8495644303423697,0.9490493857565618,0.8520582010977232,0.8520582010977232,0.04770072185124093,0.04770072185124093,0.04770072185124093,0.04770072185124093,0.04770072185124093,0.04770072185124093,0.0,0.0,0.0,0.8997589229489642
1953-01-01,0.8592984920270766,0.8576021604125601,0.9564263560989168,0.8592984920270766,0.8592984920270766,0.04727848217468007,0.04727848217468007,0.04727848217468007,0.04727848217468007,0.04727848217468007,0.04727848217468007,0.0,0.0,0.0,0.9065769742017568
1954-01-01,0.8665190007407761,0.8639104345557431,0.961299950429095,0.8665190007407761,0.8665190007407761,0.045327464998931415,0.045327464998931415,0.045327464998931415,0.045327464998931415,0.045327464998931415,0.045327464998931415,0.0,0.0,0.0,0.9118464657397075
1955-01-01,0.87373950904264,0.866122021927955,0.9671583486956001,0.87373950904264,0.87373950904264,0.045468227471079925,0.045468227471079925,0.045468227471079925,0.045468227471079925,0.045468227471079925,0.045468227471079925,0.0,0.0,0.0,0.9192077365137199
1956-01-01,0.8809600173445039,0.8805281514804573,0.9749282496891224,0.8809600173445039,0.8809600173445039,0.04770072185124756,0.04770072185124756,0.04770072185124756,0.04770072185124756,0.04770072185124756,0.04770072185124756,0.0,0.0,0.0,0.9286607391957514
1957-01-01,0.8882003034552961,0.8875323610556489,0.9831770307909994,0.8882003034552961,0.8882003034552961,0.047278482174697115,0.047278482174697115,0.047278482174697115,0.047278482174697115,0.047278482174697115,0.047278482174697115,0.0,0.0,0.0,0.9354787856299932
1958-01-01,0.8954208073635997,0.8889948119677837,0.992130807619513,0.8954208073635997,0.8954208073635997,0.04532746499893331,0.04532746499893331,0.04532746499893331,0.04532746499893331,0.04532746499893331,0.04532746499893331,0.0,0.0,0.0,0.9407482723625331
1959-01-01,0.9026341311519256,0.896633112865237,1.0007407573478393,0.9026341311519256,0.9026341311519256,0.04546822747108087,0.04546822747108087,0.04546822747108087,0.04546822747108087,0.04546822747108087,0.04546822747108087,0.0,0.0,0.0,0.9481023586230064
1960-01-01,0.9098474549402515,0.9106830807749426,1.0059280511979638,0.9098474549402515,0.9098474549402515,0.047700721851241405,0.047700721851241405,0.047700721851241405,0.047700721851241405,0.047700721851241405,0.047700721851241405,0.0,0.0,0.0,0.957548176791493
1961-01-01,0.9170791381101049,0.9149562695291613,1.0116202856366827,0.9170791381101049,0.9170791381101049,0.04727848217468528,0.04727848217468528,0.04727848217468528,0.04727848217468528,0.04727848217468528,0.04727848217468528,0.0,0.0,0.0,0.9643576202847901
1962-01-01,0.9242910625827728,0.9225237774996835,1.0169829775872488,0.9242910625827728,0.9242910625827728,0.04532746499893284,0.04532746499893284,0.04532746499893284,0.04532746499893284,0.04532746499893284,0.04532746499893284,0.0,0.0,0.0,0.9696185275817056
1963-01-01,0.93149707208252,0.9273802345122002,1.0249510203935153,0.93149707208252,0.93149707208252,0.04546822747108182,0.04546822747108182,0.04546822747108182,0.04546822747108182,0.04546822747108182,0.04546822747108182,0.0,0.0,0.0,0.9769652995536018
1964-01-01,0.9386929593083815,0.9367505239318172,1.0341340534630676,0.9386929593083815,0.9386929593083815,0.04770072185124472,0.04770072185124472,0.04770072185124472,0.04770072185124472,0.04770072185124472,0.04770072185124472,0.0,0.0,0.0,0.9863936811596262
