ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1950-01-01,0.6202530062831827,0.5952008235746021,0.6470349632387055,0.6202530062831827,0.6202530062831827,0.0,0.0,0.0,0.0,0.0,0.0,0.6202530062831827
1951-01-01,0.6273609460852876,0.5994127332282586,0.6530284189708637,0.6273609460852876,0.6273609460852876,0.0,0.0,0.0,0.0,0.0,0.0,0.6273609460852876
1952-01-01,0.6344688858873925,0.6074699700467371,0.660940481268431,0.6344688858873925,0.6344688858873925,0.0,0.0,0.0,0.0,0.0,0.0,0.6344688858873925
1953-01-01,0.6415962995019486,0.6160017063444514,0.6663312940146596,0.6415962995019486,0.6415962995019486,0.0,0.0,0.0,0.0,0.0,0.0,0.6415962995019486
1954-01-01,0.6487042393088147,0.6206598827090564,0.6727093025700351,0.6487042393088147,0.6487042393088147,0.0,0.0,0.0,0.0,0.0,0.0,0.6487042393088147
1955-01-01,0.6558121791037094,0.6308911283931119,0.6814442696614076,0.6558121791037094,0.6558121791037094,0.0,0.0,0.0,0.0,0.0,0.0,0.6558121791037094
1956-01-01,0.6629201188986039,0.636759797493122,0.6900991417936905,0.6629201188986039,0.6629201188986039,0.0,0.0,0.0,0.0,0.0,0.0,0.6629201188986039
1957-01-01,0.6700475325301359,0.6455281923607896,0.6962961665320404,0.6700475325301359,0.6700475325301359,0.0,0.0,0.0,0.0,0.0,0.0,0.6700475325301359
1958-01-01,0.6771554723539315,0.6511579701032457,0.7017620874212347,0.6771554723539315,0.6771554723539315,0.0,0.0,0.0,0.0,0.0,0.0,0.6771554723539315
1959-01-01,0.6842634121690605,0.6589989164629225,0.7090969910101332,0.6842634121690605,0.6842634121690605,0.0,0.0,0.0,0.0,0.0,0.0,0.6842634121690605
1960-01-01,0.6913713519841895,0.6665500231193944,0.7159635091579317,0.6913713519841895,0.6913713519841895,0.0,0.0,0.0,0.0,0.0,0.0,0.6913713519841895
1961-01-01,0.6984987656080689,0.6736316961164818,0.7263615090900768,0.6984987656080689,0.6984987656080689,0.0,0.0,0.0,0.0,0.0,0.0,0.6984987656080689
1962-01-01,0.705606705424233,0.681335578097564,0.729276765026881,0.705606705424233,0.705606705424233,0.0,0.0,0.0,0.0,0.0,0.0,0.705606705424233
1963-01-01,0.7127146452565306,0.6866680912049633,0.7375340870854283,0.7127146452565306,0.7127146452565306,0.0,0.0,0.0,0.0,0.0,0.0,0.7127146452565306
1964-01-01,0.7198225850978391,0.6942442943513263,0.7440511241279294,0.7198225850978391,0.7198225850978391,0.0,0.0,0.0,0.0,0.0,0.0,0.7198225850978391
1965-01-01,0.726949998746932,0.7007746629859146,0.7526433024864148,0.726949998746932,0.726949998746932,0.0,0.0,0.0,0.0,0.0,0.0,0.726949998746932
1966-01-01,0.7340575475577317,0.7089833972279633,0.7595630573568173,0.7340575475577317,0.7340575475577317,0.0,0.0,0.0,0.0,0.0,0.0,0.7340575475577317
1967-01-01,0.7411650963685312,0.7167601426424471,0.7657839263649596,0.7411650963685312,0.7411650963685312,0.0,0.0,0.0,0.0,0.0,0.0,0.7411650963685312
1968-01-01,0.7431311589078022,0.7174437443423806,0.7677697556306811,0.7431311589078022,0.7431311589078022,0.0,0.0,0.0,0.0,0.0,0.0,0.7431311589078022
1969-01-01,0.7451026079197839,0.7208373698926498,0.7697065603930165,0.7451026079197839,0.7451026079197839,0.0,0.0,0.0,0.0,0.0,0.0,0.7451026079197839
1970-01-01,0.7470620622615568,0.7229450868594892,0.773572742112936,0.7470620622615568,0.7470620622615568,0.0,0.0,0.0,0.0,0.0,0.0,0.7470620622615568
1971-01-01,0.7490215166033297,0.7240647051014079,0.7743673387474168,0.7490215166033297,0.7490215166033297,0.0,0.0,0.0,0.0,0.0,0.0,0.7490215166033297
1972-01-01,0.7509719700031167,0.7247880626196637,0.776534647748692,0.7509719700031167,0.7509719700031167,0.0,0.0,0.0,0.0,0.0,0.0,0.7509719700031167
1973-01-01,0.7529277671108481,0.7261909420529747,0.7787143979298363,0.7529277671108481,0.7529277671108481,0.0,0.0,0.0,0.0,0.0,0.0,0.7529277671108481
1974-01-01,0.7548774763985746,0.7305147065130739,0.7789919805708166,0.7548774763985746,0.7548774763985746,0.0,0.0,0.0,0.0,0.0,0.0,0.7548774763985746
1975-01-01,0.7568271856863011,0.7321887942718626,0.7819613831030315,0.7568271856863011,0.7568271856863011,0.0,0.0,0.0,0.0,0.0,0.0,0.7568271856863011
1976-01-01,0.7587768949522324,0.7346869442556194,0.7829593595610226,0.7587768949522324,0.7587768949522324,0.0,0.0,0.0,0.0,0.0,0.0,0.7587768949522324
1977-01-01,0.7607319458873856,0.7337654382923079,0.786244320817588,0.7607319458873856,0.7607319458873856,0.0,0.0,0.0,0.0,0.0,0.0,0.7607319458873856
1978-01-01,0.762681655172112,0.736716000358074,0.786573262233646,0.762681655172112,0.762681655172112,0.0,0.0,0.0,0.0,0.0,0.0,0.762681655172112
1979-01-01,0.7646313644568383,0.7401742204360429,0.7899546443621339,0.7646313644568383,0.7646313644568383,0.0,0.0,0.0,0.0,0.0,0.0,0.7646313644568383
1980-01-01,0.7665811420959183,0.741497031171052,0.7926055363617832,0.7665811420959183,0.7665811420959183,0.0,0.0,0.0,0.0,0.0,0.0,0.7665811420959183
1981-01-01,0.7685362615915439,0.744580775839125,0.7950443199288503,0.7685362615915439,0.7685362615915439,0.0,0.0,0.0,0.0,0.0,0.0,0.7685362615915439
