ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1950-01-01,0.8417465188602223,0.7734330382295648,0.9005722803074956,0.8417465188602223,0.8417465188602223,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,0.0,0.0,0.0,0.8319895050737074
1951-01-01,0.8702738392693664,0.7977389743915612,0.9322168201310154,0.8702738392693664,0.8702738392693664,-0.00748656121513179,-0.00748656121513179,-0.00748656121513179,-0.00748656121513179,-0.00748656121513179,-0.00748656121513179,0.0,0.0,0.0,0.8627872780542346
1952-01-01,0.8988011596785106,0.830219484014585,0.9572084982402885,0.8988011596785106,0.8988011596785106,-0.0030965058346197785,-0.0030965058346197785,-0.0030965058346197785,-0.0030965058346197785,-0.0030965058346197785,-0.0030965058346197785,0.0,0.0,0.0,0.8957046538438909
1953-01-01,0.9274066371197043,0.8514620535972021,0.9772546054603761,0.9274066371197043,0.9274066371197043,-0.009907162371867992,-0.009907162371867992,-0.009907162371867992,-0.009907162371867992,-0.009907162371867992,-0.009907162371867992,0.0,0.0,0.0,0.9174994747478363
1954-01-01,0.955933957518709,0.8842604211628665,1.0105783934705936,0.955933957518709,0.955933957518709,-0.009757013786511302,-0.009757013786511302,-0.009757013786511302,-0.009757013786511302,-0.009757013786511302,-0.009757013786511302,0.0,0.0,0.0,0.9461769437321977
1955-01-01,0.9844612779300027,0.9138949281108286,1.0427993479971627,0.9844612779300026,0.9844612779300026,-0.007486561215139164,-0.007486561215139164,-0.007486561215139164,-0.007486561215139164,-0.007486561215139164,-0.007486561215139164,0.0,0.0,0.0,0.9769747167148636
1956-01-01,1.0129885983412967,0.946835015270053,1.077951930754641,1.0129885983412967,1.0129885983412967,-0.0030965058346081034,-0.0030965058346081034,-0.0030965058346081034,-0.0030965058346081034,-0.0030965058346081034,-0.0030965058346081034,0.0,0.0,0.0,1.0098920925066885
1957-01-01,1.0415940757808206,0.9651103342052432,1.098666886130015,1.0415940757808206,1.0415940757808206,-0.009907162371858774,-0.009907162371858774,-0.009907162371858774,-0.009907162371858774,-0.009907162371858774,-0.009907162371858774,0.0,0.0,0.0,1.031686913408962
1958-01-01,1.07012139617816,0.9881220107709391,1.122606266437646,1.07012139617816,1.07012139617816,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,0.0,0.0,0.0,1.0603643823916449
1959-01-01,1.0986468806988963,1.0210959700934623,1.1521479256802032,1.0986468806988963,1.0986468806988963,-0.007486561215139164,-0.007486561215139164,-0.007486561215139164,-0.007486561215139164,-0.007486561215139164,-0.007486561215139164,0.0,0.0,0.0,1.0911603194837571
1960-01-01,1.1271723652196326,1.056468490400939,1.1948616876691553,1.1271723652196326,1.1271723652196326,-0.003096505834614248,-0.003096505834614248,-0.003096505834614248,-0.003096505834614248,-0.003096505834614248,-0.003096505834614248,0.0,0.0,0.0,1.1240758593850184
1961-01-01,1.1557667186086116,1.0821698139910154,1.2095401479472154,1.1557667186086116,1.1557667186086116,-0.009907162371866762,-0.009907162371866762,-0.009907162371866762,-0.009907162371866762,-0.009907162371866762,-0.009907162371866762,0.0,0.0,0.0,1.1458595562367448
1962-01-01,1.1842829453489865,1.105810595432335,1.2410310166036287,1.1842829453489865,1.1842829453489865,-0.00975701378651253,-0.00975701378651253,-0.00975701378651253,-0.00975701378651253,-0.00975701378651253,-0.00975701378651253,0.0,0.0,0.0,1.1745259315624739
1963-01-01,1.212791898187897,1.1420831647347085,1.2755484105203387,1.212791898187897,1.212791898187897,-0.007486561215136091,-0.007486561215136091,-0.007486561215136091,-0.007486561215136091,-0.007486561215136091,-0.007486561215136091,0.0,0.0,0.0,1.2053053369727609
1964-01-01,1.2412969536451475,1.1766613315468375,1.3044817511655642,1.2412969536451475,1.2412969536451475,-0.0030965058346124046,-0.0030965058346124046,-0.0030965058346124046,-0.0030965058346124046,-0.0030965058346124046,-0.0030965058346124046,0.0,0.0,0.0,1.238200447810535
1965-01-01,1.269880105144747,1.1959690311496272,1.3230087989893846,1.269880105144747,1.269880105144747,-0.00990716237186492,-0.00990716237186492,-0.00990716237186492,-0.00990716237186492,-0.00990716237186492,-0.00990716237186492,0.0,0.0,0.0,1.259972942772882
1966-01-01,1.2983653701222118,1.2205698707687922,1.3555433905120755,1.2983653701222118,1.2983653701222118,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,0.0,0.0,0.0,1.288608356335698
1967-01-01,1.3268506350996767,1.2482833350206457,1.3861164693117152,1.3268506350996767,1.3268506350996767,-0.00748656121513732,-0.00748656121513732,-0.00748656121513732,-0.00748656121513732,-0.00748656121513732,-0.00748656121513732,0.0,0.0,0.0,1.3193640738845394
1968-01-01,1.3412153541596736,1.2718353948974643,1.4051287127475032,1.3412153541596736,1.3412153541596736,-0.00309650583460626,-0.00309650583460626,-0.00309650583460626,-0.00309650583460626,-0.00309650583460626,-0.00309650583460626,0.0,0.0,0.0,1.3381188483250674
1969-01-01,1.355619428614355,1.2786104965444902,1.4138265508782437,1.355619428614355,1.355619428614355,-0.00990716237186492,-0.00990716237186492,-0.00990716237186492,-0.00990716237186492,-0.00990716237186492,-0.00990716237186492,0.0,0.0,0.0,1.34571226624249
1970-01-01,1.3567207007265065,1.280134417865836,1.4123089054639748,1.3567207007265065,1.3567207007265065,-0.009757013786514375,-0.009757013786514375,-0.009757013786514375,-0.009757013786514375,-0.009757013786514375,-0.009757013786514375,0.0,0.0,0.0,1.3469636869399921
1971-01-01,1.357821972838658,1.2839795767003523,1.413204737154858,1.357821972838658,1.357821972838658,-0.007486561215136706,-0.007486561215136706,-0.007486561215136706,-0.007486561215136706,-0.007486561215136706,-0.007486561215136706,0.0,0.0,0.0,1.3503354116235213
1972-01-01,1.3589050226946535,1.2848083713371885,1.4252839668194288,1.3589050226946535,1.3589050226946535,-0.0030965058346081034,-0.0030965058346081034,-0.0030965058346081034,-0.0030965058346081034,-0.0030965058346081034,-0.0030965058346081034,0.0,0.0,0.0,1.3558085168600453
1973-01-01,1.3599910398105282,1.2853345093402713,1.4150829911579041,1.3599910398105282,1.3599910398105282,-0.009907162371866762,-0.009907162371866762,-0.009907162371866762,-0.009907162371866762,-0.009907162371866762,-0.009907162371866762,0.0,0.0,0.0,1.3500838774386614
1974-01-01,1.361052917462061,1.2807597277170422,1.4194606010021538,1.361052917462061,1.361052917462061,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,-0.009757013786514989,0.0,0.0,0.0,1.3512959036755459
1975-01-01,1.3621147951135937,1.2873277171876185,1.4201207797618276,1.3621147951135937,1.3621147951135937,-0.007486561215134862,-0.007486561215134862,-0.007486561215134862,-0.007486561215134862,-0.007486561215134862,-0.007486561215134862,0.0,0.0,0.0,1.3546282338984588
1976-01-01,1.3464413057059625,1.278011058475663,1.4046216187112404,1.3464413057059625,1.3464413057059625,-0.0030965058346099465,-0.0030965058346099465,-0.0030965058346099465,-0.0030965058346099465,-0.0030965058346099465,-0.0030965058346099465,0.0,0.0,0.0,1.3433447998713526
1977-01-01,1.330724875231461,1.2561154406399688,1.3900638249052668,1.330724875231461,1.330724875231461,-0.009907162371865534,-0.009907162371865534,-0.009907162371865534,-0.009907162371865534,-0.009907162371865534,-0.009907162371865534,0.0,0.0,0.0,1.3208177128595955
1978-01-01,1.3150450242908003,1.2379546586587966,1.3715022844481095,1.3150450242908003,1.3150450242908003,-0.009757013786516219,-0.009757013786516219,-0.009757013786516219,-0.009757013786516219,-0.009757013786516219,-0.009757013786516219,0.0,0.0,0.0,1.3052880105042841
1979-01-01,1.2993651733501395,1.2308368376562806,1.3621957618253469,1.2993651733501395,1.2993651733501395,-0.007486561215136706,-0.007486561215136706,-0.007486561215136706,-0.007486561215136706,-0.007486561215136706,-0.007486561215136706,0.0,0.0,0.0,1.2918786121350028
1980-01-01,1.2836770233533028,1.2108579733390452,1.3439215461341902,1.2836770233533028,1.2836770233533028,-0.003096505834603187,-0.003096505834603187,-0.003096505834603187,-0.003096505834603187,-0.003096505834603187,-0.003096505834603187,0.0,0.0,0.0,1.2805805175186997
1981-01-01,1.267945892123598,1.184439520599986,1.3259824150228727,1.267945892123598,1.267945892123598,-0.00990716237186369,-0.00990716237186369,-0.00990716237186369,-0.00990716237186369,-0.00990716237186369,-0.00990716237186369,0.0,0.0,0.0,1.2580387297517344
1982-01-01,1.2522576100064557,1.172876855933927,1.3108993897159154,1.2522576100064557,1.2522576100064557,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,0.0,0.0,0.0,1.242500596219942
1983-01-01,1.2365693278893135,1.1569641991343433,1.2935818783963275,1.2365693278893135,1.2365693278893135,-0.007486561215129947,-0.007486561215129947,-0.007486561215129947,-0.007486561215129947,-0.007486561215129947,-0.007486561215129947,0.0,0.0,0.0,1.2290827666741835
1984-01-01,1.2208810457643124,1.1488050940149035,1.2808542047066718,1.2208810457643124,1.2208810457643124,-0.0030965058345945842,-0.0030965058345945842,-0.0030965058345945842,-0.0030965058345945842,-0.0030965058345945842,-0.0030965058345945842,0.0,0.0,0.0,1.2177845399297178
1985-01-01,1.2051497820444483,1.1312068013153471,1.2626067260581852,1.2051497820444483,1.2051497820444483,-0.009907162371867992,-0.009907162371867992,-0.009907162371867992,-0.009907162371867992,-0.009907162371867992,-0.009907162371867992,0.0,0.0,0.0,1.1952426196725803
1986-01-01,1.189461499910215,1.1123882481591874,1.2447986903647583,1.189461499910215,1.189461499910215,-0.009757013786517447,-0.009757013786517447,-0.009757013786517447,-0.009757013786517447,-0.009757013786517447,-0.009757013786517447,0.0,0.0,0.0,1.1797044861236976
1987-01-01,1.1737732781733332,1.0977384606349243,1.2334779415047201,1.1737732781733332,1.1737732781733332,-0.00748656121514408,-0.00748656121514408,-0.00748656121514408,-0.00748656121514408,-0.00748656121514408,-0.00748656121514408,0.0,0.0,0.0,1.1662867169581892
1988-01-01,1.1580850564364515,1.0858587845301235,1.2237876754804893,1.1580850564364515,1.1580850564364515,-0.0030965058346099465,-0.0030965058346099465,-0.0030965058346099465,-0.0030965058346099465,-0.0030965058346099465,-0.0030965058346099465,0.0,0.0,0.0,1.1549885506018416
1989-01-01,1.1454414609568957,1.0703257679851466,1.2018455892534783,1.1454414609568957,1.1454414609568957,-0.009907162371861232,-0.009907162371861232,-0.009907162371861232,-0.009907162371861232,-0.009907162371861232,-0.009907162371861232,0.0,0.0,0.0,1.1355342985850345
1990-01-01,1.1328324108201797,1.054976964407029,1.1885093513445115,1.1328324108201797,1.1328324108201797,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,-0.00975701378651376,0.0,0.0,0.0,1.123075397033666
1991-01-01,1.120241553097932,1.0414598930202537,1.177377077473091,1.120241553097932,1.120241553097932,-0.007486561215133634,-0.007486561215133634,-0.007486561215133634,-0.007486561215133634,-0.007486561215133634,-0.007486561215133634,0.0,0.0,0.0,1.1127549918827984
1992-01-01,1.107650695375684,1.0399001692288605,1.1714666598297059,1.107650695375684,1.107650695375684,-0.0030965058345970423,-0.0030965058345970423,-0.0030965058345970423,-0.0030965058345970423,-0.0030965058345970423,-0.0030965058345970423,0.0,0.0,0.0,1.1045541895410869
1993-01-01,1.0950390472814981,1.0210576421308186,1.1441295380788232,1.0950390472814981,1.0950390472814981,-0.009907162371871064,-0.009907162371871064,-0.009907162371871064,-0.009907162371871064,-0.009907162371871064,-0.009907162371871064,0.0,0.0,0.0,1.085131884909627
1994-01-01,1.0824618572422142,1.0091891986169017,1.1458157171795995,1.0824618572422142,1.0824618572422142,-0.00975701378651253,-0.00975701378651253,-0.00975701378651253,-0.00975701378651253,-0.00975701378651253,-0.00975701378651253,0.0,0.0,0.0,1.0727048434557016
1995-01-01,1.0746351566165764,1.0003068917634435,1.1322557111522402,1.0746351566165764,1.0746351566165764,-0.007486561215134248,-0.007486561215134248,-0.007486561215134248,-0.007486561215134248,-0.007486561215134248,-0.007486561215134248,0.0,0.0,0.0,1.0671485954014421
