ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,gdp_netherlands,gdp_netherlands_lower,gdp_netherlands_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,price,price_lower,price_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
1997-01-01,973464.2923942213,544337.3500162379,1397868.52117652,973464.2923942213,973464.2923942213,0.0002861716703880246,0.0002861716703880246,0.0002861716703880246,-0.013321832723152842,-0.013321832723152842,-0.013321832723152842,0.0002861716703880246,0.0002861716703880246,0.0002861716703880246,0.013608004393540866,0.013608004393540866,0.013608004393540866,0.0,0.0,0.0,973742.8702968389
1998-01-01,1143547.8899926862,796575.540677793,1678020.3395824307,1143547.8899926862,1143547.8899926862,0.07242124815490908,0.07242124815490908,0.07242124815490908,-0.0110055222342708,-0.0110055222342708,-0.0110055222342708,0.07242124815490908,0.07242124815490908,0.07242124815490908,0.08342677038917988,0.08342677038917988,0.08342677038917988,0.0,0.0,0.0,1226365.0555108692
1999-01-01,1313631.4875911511,984346.640678353,1863670.87553467,1313631.4875911511,1313631.4875911511,0.08971692580255267,0.08971692580255267,0.08971692580255267,-0.008425546615271395,-0.008425546615271395,-0.008425546615271395,0.08971692580255267,0.08971692580255267,0.08971692580255267,0.09814247241782406,0.09814247241782406,0.09814247241782406,0.0,0.0,0.0,1431486.4662952635
2000-01-01,1483715.0845907535,1139550.7253426996,2017539.1114545509,1483715.0845907535,1483715.0845907535,0.06901496238683587,0.06901496238683587,0.06901496238683587,-0.0061500081193138646,-0.0061500081193138646,-0.0061500081193138646,0.06901496238683587,0.06901496238683587,0.06901496238683587,0.07516497050614973,0.07516497050614973,0.07516497050614973,0.0,0.0,0.0,1586113.6253465654
2001-01-01,1654264.6640478892,1320333.537016747,2223803.2340636705,1654264.6640478892,1654264.6640478892,0.07466787534689927,0.07466787534689927,0.07466787534689927,-0.00485154250992988,-0.00485154250992988,-0.00485154250992988,0.07466787534689927,0.07466787534689927,0.07466787534689927,0.07951941785682914,0.07951941785682914,0.07951941785682914,0.0,0.0,0.0,1777785.091773797
2002-01-01,1824348.2706633904,1528869.444474365,2396592.1569985077,1824348.2706633904,1824348.2706633904,0.0725460783834552,0.0725460783834552,0.0725460783834552,-0.004736035525721354,-0.004736035525721354,-0.004736035525721354,0.0725460783834552,0.0725460783834552,0.0725460783834552,0.07728211390917655,0.07728211390917655,0.07728211390917655,0.0,0.0,0.0,1956697.5833056578
2003-01-01,1994431.8772788923,1660865.9186345586,2536661.8555025775,1994431.8772788923,1994431.8772788923,0.052294090456993673,0.052294090456993673,0.052294090456993673,-0.004620297527544128,-0.004620297527544128,-0.004620297527544128,0.052294090456993673,0.052294090456993673,0.052294090456993673,0.0569143879845378,0.0569143879845378,0.0569143879845378,0.0,0.0,0.0,2098728.8782796264
2004-01-01,2164515.374577961,1779088.511553025,2653712.6977515924,2164515.374577961,2164515.374577961,0.02524036042768254,0.02524036042768254,0.02524036042768254,-0.003460602785809987,-0.003460602785809987,-0.003460602785809987,0.02524036042768254,0.02524036042768254,0.02524036042768254,0.028700963213492525,0.028700963213492525,0.028700963213492525,0.0,0.0,0.0,2219148.522783569
2005-01-01,2335064.8540614108,2032380.0173647646,2891283.619296482,2335064.8540614108,2335064.8540614108,0.06053128953178433,0.06053128953178433,0.06053128953178433,-0.002277714149241022,-0.002277714149241022,-0.002277714149241022,0.06053128953178433,0.06053128953178433,0.06053128953178433,0.06280900368102535,0.06280900368102535,0.06280900368102535,0.0,0.0,0.0,2476409.340818096
2006-01-01,2252784.322115735,1995426.125443825,2811457.3892238555,2252784.322115735,2252784.322115735,0.07047999692206308,0.07047999692206308,0.07047999692206308,-0.00016625793296526397,-0.00016625793296526397,-0.00016625793296526397,0.07047999692206308,0.07047999692206308,0.07047999692206308,0.07064625485502835,0.07064625485502835,0.07064625485502835,0.0,0.0,0.0,2411560.554204524
2007-01-01,2170503.7901700595,1815584.4588182461,2664768.2009774433,2170503.7901700595,2170503.7901700595,0.026572778977509013,0.026572778977509013,0.026572778977509013,0.002206415580924013,0.002206415580924013,0.002206415580924013,0.026572778977509013,0.026572778977509013,0.026572778977509013,0.024366363396585,0.024366363396585,0.024366363396585,0.0,0.0,0.0,2228180.1076560942
2008-01-01,2088223.2582243837,1593538.2311293338,2396091.366001718,2088223.2582243837,2088223.2582243837,-0.04123402201524697,-0.04123402201524697,-0.04123402201524697,0.0036322674852179763,0.0036322674852179763,0.0036322674852179763,-0.04123402201524697,-0.04123402201524697,-0.04123402201524697,-0.04486628950046495,-0.04486628950046495,-0.04486628950046495,0.0,0.0,0.0,2002117.4144220087
2009-01-01,2005717.3016784799,1457168.6541220876,2335892.8702998934,2005717.3016784799,2005717.3016784799,-0.037938933851635125,-0.037938933851635125,-0.037938933851635125,0.0011814873075373196,0.0011814873075373196,0.0011814873075373196,-0.037938933851635125,-0.037938933851635125,-0.037938933851635125,-0.03912042115917244,-0.03912042115917244,-0.03912042115917244,0.0,0.0,0.0,1929622.52564502
2010-01-01,1923436.7712433576,1465571.600708434,2348890.323592902,1923436.7712433576,1923436.7712433576,-0.018538932646712955,-0.018538932646712955,-0.018538932646712955,0.0020107120925206257,0.0020107120925206257,0.0020107120925206257,-0.018538932646712955,-0.018538932646712955,-0.018538932646712955,-0.02054964473923358,-0.02054964473923358,-0.02054964473923358,0.0,0.0,0.0,1887778.306491066
